주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자,제공기관코드,제공기관명
406-2-000019,대정하모 공영노외3주차장,공영,노외,,제주특별자치도 서귀포시 대정읍 하모리 1512-1,14,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,혼합,30,1000,15,500,,,,신용카드,유공납세자(선정일로부터 1년간). 감면액 이상의 자원봉사마일리지 소지자. 장애정도가 심한 장애인 1일 1차례 3시간 면제+경차. 저공해차. 전기차. 4.3 희생자 및 유족 50 감면+최근 2년 이내 헌혈증 소지자. 장애정도가 심하지 않은 장애인. 국가유공자. 5.18민주유공자. 고엽제 후유의증 환자. 임산부. 다자녀가정. 의사상자. 장기등 기증자 1일 1차례 3시간 50 감면. 유료운영시간(평일 09:00 ~ 18:00) 이외는 무료,제주특별자치도 서귀포시청,064-760-2632,33.223864,126.2524395,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000073,대정하모 공영노외1주차장,공영,노외,,제주특별자치도 서귀포시 대정읍 하모리 1444-2,46,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,혼합,30,1000,15,500,,,75000,신용카드,유공납세자(선정일로부터 1년간). 감면액 이상의 자원봉사마일리지 소지자. 장애정도가 심한 장애인 1일 1차례 3시간 면제+경차. 저공해차. 전기차. 4.3 희생자 및 유족 50 감면+최근 2년 이내 헌혈증 소지자. 장애정도가 심하지 않은 장애인. 국가유공자. 5.18민주유공자. 고엽제 후유의증 환자. 임산부. 다자녀가정. 의사상자. 장기등 기증자 1일 1차례 3시간 50 감면. 유료운영시간(평일 09:00 ~ 18:00) 이외는 무료,제주특별자치도 서귀포시청,064-760-3132,33.226524,126.251489,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000067,동일다목적회관 앞 공영주차장,공영,노외,,제주특별자치도 서귀포시 대정읍 동일리 2829-6,8,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-4092,33.22842744,126.2413832,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000012,용머리 공영주차장,공영,노외,제주특별자치도 서귀포시 안덕면 사계남로216번길 28,제주특별자치도 서귀포시 안덕면 사계리 118,70,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-6321,33.233793,126.310842,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000065,강정마을 공영주차장,공영,노외,,제주특별자치도 서귀포시 강정동 5356-11,20,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-2972,33.235151,126.474661,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000015,산방산 남측 공영주차장,공영,노외,,제주특별자치도 서귀포시 안덕면 사계리 163-1,37,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-6321,33.235943,126.3118281,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000007,산방산 공영주차장,공영,노외,,제주특별자치도 서귀포시 안덕면 사계리 166-4,28,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-6321,33.236268,126.3125765,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000090,대륜법환 공영노외1주차장,공영,노외,제주특별자치도 서귀포시 이어도로 897-2 (법환동),제주특별자치도 서귀포시 법환동 1279,16,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.236971,126.5109648,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000107,법환동 우체국 앞 공영주차장,공영,노외,,제주특별자치도 서귀포시 법환동 1219-2,12,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,도시과,064-760-2632,33.2375926900,126.5123384,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000066,법환 노인회관 앞 공영주차장,공영,노외,,제주특별자치도 서귀포시 법환동 1134,40,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-4752,33.23938649,126.509485,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000009,돔베낭골공영주차장,공영,노외,제주특별자치도 서귀포시 태평로92번길 49 (호근동),제주특별자치도 서귀포시 호근동 1619,57,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.240168,126.531879,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000031,법환동 재활용도움센터 옆 공영주차장,공영,노외,제주특별자치도 서귀포시 법환로 87 (법환동),제주특별자치도 서귀포시 법환동 1063,20,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-2173,33.240292,126.507801,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000106,법환상로 공영주차장,공영,노외,,제주특별자치도 서귀포시 법환동 480-1,9,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,교통행정과,064-760-3132,33.2410225,126.5127111,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000100,보목마을회관 동측 공영주차장,공영,노외,,제주특별자치도 서귀포시 보목동 788-1,19,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,교통행정과,064-760-3132,33.2414082,126.6035153939,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000048,외돌개 공영주차장,공영,노외,제주특별자치도 서귀포시 남성로 65 (서홍동),제주특별자치도 서귀포시 서홍동 780-1,30,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-3192,33.24153618,126.5474759,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000055,자구리 공영주차장,공영,노외,,제주특별자치도 서귀포시 서귀동 28-3,70,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,혼합,30,1000,15,500,,,100000,신용카드,유공납세자(선정일로부터 1년간). 감면액 이상의 자원봉사마일리지 소지자. 장애정도가 심한 장애인 1일 1차례 3시간 면제+경차. 저공해차. 전기차. 4.3 희생자 및 유족 50 감면+최근 2년 이내 헌혈증 소지자. 장애정도가 심하지 않은 장애인. 국가유공자. 5.18민주유공자. 고엽제 후유의증 환자. 임산부. 다자녀가정. 의사상자. 장기등 기증자 1일 1차례 3시간 50 감면. 유료운영시간(평일 09:00 ~ 18:00) 이외는 무료,제주특별자치도 서귀포시청,064-760-3132,33.242873,126.566663,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000099,보목 노외 1 공영주차장,공영,노외,,제주특별자치도 서귀포시 보목동 393,70,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,교통행정과,064-760-3132,33.2432037,126.6060817000,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000054,나포리 호텔 아래 공영주차장,공영,노외,,제주특별자치도 서귀포시 서귀동 600-3,3,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-2173,33.243655,126.5628782,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000010,천지연 공영주차장,공영,노외,,제주특별자치도 서귀포시 서홍동 684,190,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-6302,33.24390527,126.5605745,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000027,정방폭포 공영주차장,공영,노외,제주특별자치도 서귀포시 칠십리로214번길 35-1 (동홍동),제주특별자치도 서귀포시 동홍동 277,62,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-3152,33.244605,126.573225,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000056,이중섭거리 공영주차장,공영,노외,,제주특별자치도 서귀포시 서귀동 550,24,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-3561,33.245253,126.5649581,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000091,월평마을도시재생사업 공영주차장,공영,노외,제주특별자치도 서귀포시 월평로 40 (월평동),제주특별자치도 서귀포시 월평동 410-1,10,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.24570658,126.4611258,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000041,화순사거리 공영주차장,공영,노외,,제주특별자치도 서귀포시 안덕면 화순리 1072,38,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.24631514,126.3352378,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000013,월드컵경기장 공영주차장,공영,노외,제주특별자치도 서귀포시 월드컵로 31 (법환동),제주특별자치도 서귀포시 법환동 914,723,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-3602,33.247067,126.507363,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000053,정방공영주차빌딩,공영,노외,제주특별자치도 서귀포시 태평로431번길 23 (서귀동),제주특별자치도 서귀포시 서귀동 403-6,137,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,혼합,30,1000,15,500,,,100000,현금+신용카드,유공납세자(선정일로부터 1년간). 감면액 이상의 자원봉사마일리지 소지자. 장애정도가 심한 장애인 1일 1차례 3시간 면제+경차. 저공해차. 전기차. 4.3 희생자 및 유족 50 감면+최근 2년 이내 헌혈증 소지자. 장애정도가 심하지 않은 장애인. 국가유공자. 5.18민주유공자. 고엽제 후유의증 환자. 임산부. 다자녀가정. 의사상자. 장기등 기증자 1일 1차례 3시간 50 감면. 유료운영시간(평일 09:00 ~ 18:00) 이외는 무료,제주특별자치도 서귀포시청,064-760-3132,33.24771548,126.5657547,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000102,아랑조을거리 공영주차장,공영,노외,,제주특별자치도 서귀포시 서귀동 312-5,139,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,교통행정과,064-760-3132,33.2479106972,126.5604204801,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000101,중앙동 공영무료주차장,공영,노외,,제주특별자치도 서귀포시 서귀동 252-8,10,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,교통행정과,064-760-3132,33.2492358,126.5686464074,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000024,매일올레시장 입구 공영주차장,공영,노외,제주특별자치도 서귀포시 중정로61번길 20 (서귀동),제주특별자치도 서귀포시 서귀동 276-19,22,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-2632,33.249572,126.562917,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000029,천지동노인회관 공영주차장,공영,노외,제주특별자치도 서귀포시 서문로 37 (서귀동),제주특별자치도 서귀포시 서귀동 321-5,19,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.24959972,126.558497,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000042,중앙공영주차빌딩,공영,노외,제주특별자치도 서귀포시 중앙로54번길 17 (서귀동),제주특별자치도 서귀포시 서귀동 291-2,306,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,혼합,30,1000,15,500,,,100000,현금+신용카드,유공납세자(선정일로부터 1년간). 감면액 이상의 자원봉사마일리지 소지자. 장애정도가 심한 장애인 1일 1차례 3시간 면제+경차. 저공해차. 전기차. 4.3 희생자 및 유족 50 감면+최근 2년 이내 헌혈증 소지자. 장애정도가 심하지 않은 장애인. 국가유공자. 5.18민주유공자. 고엽제 후유의증 환자. 임산부. 다자녀가정. 의사상자. 장기등 기증자 1일 1차례 3시간 50 감면. 유료운영시간(평일 09:00 ~ 18:00) 이외는 무료,제주특별자치도 서귀포시청,064-760-3132,33.24985968,126.562164,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000017,걸매생태공원 공영주차장,공영,노외,제주특별자치도 서귀포시 서홍로 4-40 (서홍동),제주특별자치도 서귀포시 서홍동 477-1,79,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-3192,33.25014681,126.5545605,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000014,매일올레시장공영주차장,공영,노외,제주특별자치도 서귀포시 중앙로62번길 20 (서귀동),제주특별자치도 서귀포시 서귀동 277-1,234,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,30,1000,15,500,,,,현금+신용카드,유공납세자(선정일로부터 1년간). 감면액 이상의 자원봉사마일리지 소지자. 장애정도가 심한 장애인 1일 1차례 3시간 면제+경차. 저공해차. 전기차. 4.3 희생자 및 유족 50 감면+최근 2년 이내 헌혈증 소지자. 장애정도가 심하지 않은 장애인. 국가유공자. 5.18민주유공자. 고엽제 후유의증 환자. 임산부. 다자녀가정. 의사상자. 장기등 기증자 1일 1차례 3시간 50 감면. 유료운영시간(평일 09:00 ~ 18:00) 이외는 무료,제주특별자치도 서귀포시청,064-762-1949,33.2503908,126.5635907,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000104,시민문화체육복합센터 공영주차장,공영,노외,,제주특별자치도 서귀포시 동홍동 395-2,141,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,교통행정과,064-760-3132,33.2504046488,126.5688552,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000080,중앙 공영노외1주차장,공영,노외,제주특별자치도 서귀포시 동문동로 28 (서귀동),제주특별자치도 서귀포시 서귀동 268-17,14,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,혼합,30,1000,15,500,,,100000,신용카드,유공납세자(선정일로부터 1년간). 감면액 이상의 자원봉사마일리지 소지자. 장애정도가 심한 장애인 1일 1차례 3시간 면제+경차. 저공해차. 전기차. 4.3 희생자 및 유족 50 감면+최근 2년 이내 헌혈증 소지자. 장애정도가 심하지 않은 장애인. 국가유공자. 5.18민주유공자. 고엽제 후유의증 환자. 임산부. 다자녀가정. 의사상자. 장기등 기증자 1일 1차례 3시간 50 감면. 유료운영시간(평일 09:00 ~ 18:00) 이외는 무료,제주특별자치도 서귀포시청,064-760-3132,33.251114,126.565451,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000037,천지공영주차빌딩,공영,노외,제주특별자치도 서귀포시 서문로 16 (서귀동),제주특별자치도 서귀포시 서귀동 305-1,220,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,혼합,30,1000,15,500,,,100000,현금+신용카드,유공납세자(선정일로부터 1년간). 감면액 이상의 자원봉사마일리지 소지자. 장애정도가 심한 장애인 1일 1차례 3시간 면제+경차. 저공해차. 전기차. 4.3 희생자 및 유족 50 감면+최근 2년 이내 헌혈증 소지자. 장애정도가 심하지 않은 장애인. 국가유공자. 5.18민주유공자. 고엽제 후유의증 환자. 임산부. 다자녀가정. 의사상자. 장기등 기증자 1일 1차례 3시간 50 감면. 유료운영시간(평일 09:00 ~ 18:00) 이외는 무료,제주특별자치도 서귀포시청,064-760-3132,33.251523,126.559351,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000063,시민회관 옆 공영주차장,공영,노외,제주특별자치도 서귀포시 동홍로 35 (동홍동),제주특별자치도 서귀포시 동홍동 452-3,44,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-2972,33.251633,126.567538,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000079,중문초등학교 서측 공영주차장,공영,노외,,제주특별자치도 서귀포시 중문동 1971-2,7,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-3072,33.251636,126.428184,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000026,중앙로터리 공영주차빌딩,공영,노외,제주특별자치도 서귀포시 서문로 7 (서귀동),제주특별자치도 서귀포시 서귀동 298-2,120,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,혼합,30,1000,15,500,,,100000,현금+신용카드,유공납세자(선정일로부터 1년간). 감면액 이상의 자원봉사마일리지 소지자. 장애정도가 심한 장애인 1일 1차례 3시간 면제+경차. 저공해차. 전기차. 4.3 희생자 및 유족 50 감면+최근 2년 이내 헌혈증 소지자. 장애정도가 심하지 않은 장애인. 국가유공자. 5.18민주유공자. 고엽제 후유의증 환자. 임산부. 다자녀가정. 의사상자. 장기등 기증자 1일 1차례 3시간 50 감면. 유료운영시간(평일 09:00 ~ 18:00) 이외는 무료,제주특별자치도 서귀포시청,064-760-3132,33.251679,126.560439,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000062,동홍 공영노외2주차장,공영,노외,,제주특별자치도 서귀포시 동홍동 429,28,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,혼합,30,1000,15,500,,,100000,신용카드,유공납세자(선정일로부터 1년간). 감면액 이상의 자원봉사마일리지 소지자. 장애정도가 심한 장애인 1일 1차례 3시간 면제+경차. 저공해차. 전기차. 4.3 희생자 및 유족 50 감면+최근 2년 이내 헌혈증 소지자. 장애정도가 심하지 않은 장애인. 국가유공자. 5.18민주유공자. 고엽제 후유의증 환자. 임산부. 다자녀가정. 의사상자. 장기등 기증자 1일 1차례 3시간 50 감면. 유료운영시간(평일 09:00 ~ 18:00) 이외는 무료,제주특별자치도 서귀포시청,064-760-3132,33.25181564,126.5694961,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000050,국토교통인재개발원 동측 공영주차장,공영,노외,,제주특별자치도 서귀포시 서호동 1603,112,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.252158,126.515699,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000082,천제연폭포 버스전용 공영주차장,공영,노외,,제주특별자치도 서귀포시 중문동 2231,21,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.25304291,126.4191565,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000081,천제연폭포 공영주차장,공영,노외,,제주특별자치도 서귀포시 중문동 2230,97,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-6332,33.2532067,126.418764,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000035,쇠소깍 공영주차장,공영,노외,제주특별자치도 서귀포시 쇠소깍로 104 (하효동),제주특별자치도 서귀포시 하효동 990-1,55,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,혼합,30,1000,15,500,,,,신용카드,유공납세자(선정일로부터 1년간). 감면액 이상의 자원봉사마일리지 소지자. 장애정도가 심한 장애인 1일 1차례 3시간 면제+경차. 저공해차. 전기차. 4.3 희생자 및 유족 50 감면+최근 2년 이내 헌혈증 소지자. 장애정도가 심하지 않은 장애인. 국가유공자. 5.18민주유공자. 고엽제 후유의증 환자. 임산부. 다자녀가정. 의사상자. 장기등 기증자 1일 1차례 3시간 50 감면. 유료운영시간(평일 09:00 ~ 18:00) 이외는 무료,제주특별자치도 서귀포시청,064-760-3132,33.254249,126.622494,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000011,문부공원 공영주차장,공영,노외,제주특별자치도 서귀포시 일주동로 8593 (동홍동),제주특별자치도 서귀포시 동홍동 646-1,35,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-3192,33.25431516,126.5699892,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000060,중앙여중 후문 공영주차장,공영,노외,,제주특별자치도 서귀포시 동홍동 1530-12,25,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.25502147,126.5636737,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000103,열린병원 북측 공영주차장,공영,노외,,제주특별자치도 서귀포시 동홍동 1535-5,37,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,교통행정과,064-760-3132,33.2550276,126.5655192,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000074,서귀서초등학교 인근 공영주차장,공영,노외,,제주특별자치도 서귀포시 서홍동 365-3,9,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.255173,126.555879,,2024-07-12,6520000,제주특별자치도 서귀포시
